FirstOne,SecondOne,ThirdOne,Name,Link,Headline
Yi Shi,Zhi-Rui Ma,Wei Chen,Yi Shi,https://www.nature.com/articles/s41467-021-23306-6,Electronic metal–support interaction modulates single-atom platinum catalysis for hydrogen evolution reaction
Wen Chen,Philippe Roelli,Christophe Galland,Wen Chen,https://www.nature.com/articles/s41467-021-22679-y,Intrinsic luminescence blinking from plasmonic nanojunctions
Wen Chen,Philippe Roelli,Christophe Galland,Wen Chen,https://www.nature.com/articles/s41467-021-22679-y,Intrinsic luminescence blinking from plasmonic nanojunctions
Yong Wang,Lizhi Dai,Ye Tian,Yong Wang,https://www.nature.com/articles/s41467-021-23332-4,DNA origami single crystals with Wulff shapes
Yong Wang,Lizhi Dai,Ye Tian,Yong Wang,https://www.nature.com/articles/s41467-021-23332-4,DNA origami single crystals with Wulff shapes
Stéphane Le Vu,Gabrielle Jones,Harold Noel,Stéphane Le Vu,https://www.nature.com/articles/s41467-021-23233-6,Prevalence of SARS-CoV-2 antibodies in France: results from nationwide serological surveillance
Chuanyang Yu,Stephen King Pong Leung,Wilson Chun Yu Lau,Chuanyang Yu,https://www.nature.com/articles/s41467-021-23338-y,Structural basis of substrate recognition and thermal protection by a small heat shock protein
Chuanyang Yu,Stephen King Pong Leung,Wilson Chun Yu Lau,Chuanyang Yu,https://www.nature.com/articles/s41467-021-23338-y,Structural basis of substrate recognition and thermal protection by a small heat shock protein
Chuanyang Yu,Stephen King Pong Leung,Wilson Chun Yu Lau,Chuanyang Yu,https://www.nature.com/articles/s41467-021-23338-y,Structural basis of substrate recognition and thermal protection by a small heat shock protein
Yu Xia,Diana Nelli,Z. Y. Li,Yu Xia,https://www.nature.com/articles/s41467-021-23305-7,Shape control of size-selected naked platinum nanocrystals
Yu Xia,Diana Nelli,Z. Y. Li,Yu Xia,https://www.nature.com/articles/s41467-021-23305-7,Shape control of size-selected naked platinum nanocrystals
Yu Xia,Diana Nelli,Z. Y. Li,Yu Xia,https://www.nature.com/articles/s41467-021-23305-7,Shape control of size-selected naked platinum nanocrystals
Minwoo Baek,Yun-Jeong Choe,Nam Chul Kim,Minwoo Baek,https://www.nature.com/articles/s41467-021-23648-1,Author Correction: TDP-43 and PINK1 mediate CHCHD10S59L mutation–induced defects in Drosophila and in vitro
David J. Young,Sezen Meydan,Nicholas R. Guydosh,David J. Young,https://www.nature.com/articles/s41467-021-23223-8,40S ribosome profiling reveals distinct roles for Tma20/Tma22 (MCT-1/DENR) and Tma64 (eIF2D) in 40S subunit recycling
David J. Young,Sezen Meydan,Nicholas R. Guydosh,David J. Young,https://www.nature.com/articles/s41467-021-23223-8,40S ribosome profiling reveals distinct roles for Tma20/Tma22 (MCT-1/DENR) and Tma64 (eIF2D) in 40S subunit recycling
Jinxiu Hou,Lulu Han,Chengjiang Gao,Jinxiu Hou,https://www.nature.com/articles/s41467-021-23219-4,USP18 positively regulates innate antiviral immunity by promoting K63-linked polyubiquitination of MAVS
Ruichao Zhu,Tianshuo Qiu,Shaobo Qu,Ruichao Zhu,https://www.nature.com/articles/s41467-021-23087-y,Phase-to-pattern inverse design paradigm for fast realization of functional metasurfaces via transfer learning
Can Dong,Antoine D. Madar,Mark E. J. Sheffield,Can Dong,https://www.nature.com/articles/s41467-021-23260-3,Distinct place cell dynamics in CA1 and CA3 encode experience in new environments
Kanghyeok Jeon,Jeeson Kim,Gun Hwan Kim,Kanghyeok Jeon,https://www.nature.com/articles/s41467-021-23180-2,Self-rectifying resistive memory in passive crossbar arrays
Yong Shang,Chenggui Wu,Qianghui Zhou,Yong Shang,https://www.nature.com/articles/s41467-021-23058-3,Diversity-oriented functionalization of 2-pyridones and uracils
Yong Shang,Chenggui Wu,Qianghui Zhou,Yong Shang,https://www.nature.com/articles/s41467-021-23058-3,Diversity-oriented functionalization of 2-pyridones and uracils
Yong-xi Song,Jing-xu Sun,Zhen-ning Wang,Yong-xi Song,https://www.nature.com/articles/s41467-021-23211-y,Author Correction: Non-coding RNAs participate in the regulatory network of CLDN4 via ceRNA mediated miRNA evasion
Yong-xi Song,Jing-xu Sun,Zhen-ning Wang,Yong-xi Song,https://www.nature.com/articles/s41467-021-23211-y,Author Correction: Non-coding RNAs participate in the regulatory network of CLDN4 via ceRNA mediated miRNA evasion
Soo-Yeon Park,Jung Yeon Hong,Ho-Geun Yoon,Soo-Yeon Park,https://www.nature.com/articles/s41467-021-23277-8,Club cell-specific role of programmed cell death 5 in pulmonary fibrosis
Jie Zhou,Yang Wei,Ling Huang,Jie Zhou,https://www.nature.com/articles/s41467-021-23176-y,A luminescent view of the clickable assembly of LnF3 nanoclusters
Kaituo Wang,Robert Dagil,Ali Salanti,Kaituo Wang,https://www.nature.com/articles/s41467-021-23254-1,Cryo-EM reveals the architecture of placental malaria VAR2CSA and provides molecular insight into chondroitin sulfate binding
Young-Tae Lee,Alex Ayoub,Yali Dou,Young-Tae Lee,https://www.nature.com/articles/s41467-021-23268-9,Mechanism for DPY30 and ASH2L intrinsically disordered regions to modulate the MLL/SET1 activity on chromatin
Yijie Wang,Yan Chen,Yingfei Wang,Yijie Wang,https://www.nature.com/articles/s41467-021-23264-z,MIF is a 3’ flap nuclease that facilitates DNA replication and promotes tumor growth
Xuanze Zhang,Ying-Ping Wang,Yongqiang Zhang,Xuanze Zhang,https://www.nature.com/articles/s41467-021-22392-w,A small climate-amplifying effect of climate-carbon cycle feedback
Ge Song,Wan-ting He,Raiees Andrabi,Ge Song,https://www.nature.com/articles/s41467-021-23074-3,Cross-reactive serum and memory B-cell responses to spike protein in SARS-CoV-2 and endemic coronavirus infection
Ge Song,Wan-ting He,Raiees Andrabi,Ge Song,https://www.nature.com/articles/s41467-021-23074-3,Cross-reactive serum and memory B-cell responses to spike protein in SARS-CoV-2 and endemic coronavirus infection
Fang Wang,Johan Biscaras,Abhay Shukla,Fang Wang,https://www.nature.com/articles/s41467-021-23183-z,Superconductor-insulator transition in space charge doped one unit cell Bi2.1Sr1.9CaCu2O8+x
Fang Wang,Johan Biscaras,Abhay Shukla,Fang Wang,https://www.nature.com/articles/s41467-021-23183-z,Superconductor-insulator transition in space charge doped one unit cell Bi2.1Sr1.9CaCu2O8+x
Yi Xu,Fengwang Li,David Sinton,Yi Xu,https://www.nature.com/articles/s41467-021-23065-4,Low coordination number copper catalysts for electrochemical CO2 methanation in a membrane electrode assembly
Zhikai Tu,Weifeng Liu,Hongming Lou,Zhikai Tu,https://www.nature.com/articles/s41467-021-23204-x,Biomimetic high performance artificial muscle built on sacrificial coordination network and mechanical training process
Gwangmin Kim,Jae Hyun In,Kyung Min Kim,Gwangmin Kim,https://www.nature.com/articles/s41467-021-23184-y,Self-clocking fast and variation tolerant true random number generator based on a stochastic mott memristor
Danfeng Song,Haizhan Jiao,Zhenfeng Liu,Danfeng Song,https://www.nature.com/articles/s41467-021-23248-z,Phospholipid translocation captured in a bifunctional membrane protein MprF
Danfeng Song,Haizhan Jiao,Zhenfeng Liu,Danfeng Song,https://www.nature.com/articles/s41467-021-23248-z,Phospholipid translocation captured in a bifunctional membrane protein MprF
Chang Xue,Shuyao Hu,Zai-Sheng Wu,Chang Xue,https://www.nature.com/articles/s41467-021-23250-5,Programmably tiling rigidified DNA brick on gold nanoparticle as multi-functional shell for cancer-targeted delivery of siRNAs
Chang Xue,Shuyao Hu,Zai-Sheng Wu,Chang Xue,https://www.nature.com/articles/s41467-021-23250-5,Programmably tiling rigidified DNA brick on gold nanoparticle as multi-functional shell for cancer-targeted delivery of siRNAs
Chi Zhang,Ziling Zeng,Kanyi Pu,Chi Zhang,https://www.nature.com/articles/s41467-021-23194-w,Semiconducting polymer nano-PROTACs for activatable photo-immunometabolic cancer therapy
Chi Zhang,Ziling Zeng,Kanyi Pu,Chi Zhang,https://www.nature.com/articles/s41467-021-23194-w,Semiconducting polymer nano-PROTACs for activatable photo-immunometabolic cancer therapy
Li-Qiu Wang,Tao Liu,Jun Cui,Li-Qiu Wang,https://www.nature.com/articles/s41467-021-23201-0,Perfluoroalkyl substance pollutants activate the innate immune system through the AIM2 inflammasome
Chao Zhang,Cong Xu,Zhong Huang,Chao Zhang,https://www.nature.com/articles/s41467-021-23199-5,Functional and structural characterization of a two-MAb cocktail for delayed treatment of enterovirus D68 infections
