,FirstOne,SecondOne,ThirdOne,Name,Link,Headline
17,Xinyue Hu,Xiaoxue Tang,Xiaoming Feng,Xinyue Hu,https://www.nature.com/articles/s41467-021-23105-z,"Catalytic asymmetric Nakamura reaction by gold(I)/chiral N,Nʹ-dioxide-indium(III) or nickel(II) synergistic catalysis"
18,Jianyu Zhang,Xi Wang,Tao Xu,Jianyu Zhang,https://www.nature.com/articles/s41467-021-23344-0,Regioselective activation of benzocyclobutenones and dienamides lead to anti-Bredt bridged-ring systems by a [4+4] cycloaddition
19,Xinlei Mi,Baiming Zou,Jianhua Hu,Xinlei Mi,https://www.nature.com/articles/s41467-021-22756-2,Permutation-based identification of important biomarkers for complex diseases via machine learning models
20,Kou Li,Ryoichi Yuasa,Yukio Kawano,Kou Li,https://www.nature.com/articles/s41467-021-23089-w,"Robot-assisted, source-camera-coupled multi-view broadband imagers for ubiquitous sensing platform"
21,Seula Shin,Hao Zhou,Jian Hu,Seula Shin,https://www.nature.com/articles/s41467-021-22782-0,Qki activates Srebp2-mediated cholesterol biosynthesis for maintenance of eye lens transparency
22,Sonu Sahadevan,Katharina M. Hembach,Magdalini Polymenidou,Sonu Sahadevan,https://www.nature.com/articles/s41467-021-23188-8,Synaptic FUS accumulation triggers early misregulation of synaptic RNAs in a mouse model of ALS
23,Taewan Kim,Seongmin Park,Sohee Jeong,Taewan Kim,https://www.nature.com/articles/s41467-021-23259-w,Diffusion dynamics controlled colloidal synthesis of highly monodisperse InAs nanocrystals
25,Yi Shi,Zhi-Rui Ma,Wei Chen,Yi Shi,https://www.nature.com/articles/s41467-021-23306-6,Electronic metal–support interaction modulates single-atom platinum catalysis for hydrogen evolution reaction
27,Wen Chen,Philippe Roelli,Christophe Galland,Wen Chen,https://www.nature.com/articles/s41467-021-22679-y,Intrinsic luminescence blinking from plasmonic nanojunctions
29,Yong Wang,Lizhi Dai,Ye Tian,Yong Wang,https://www.nature.com/articles/s41467-021-23332-4,DNA origami single crystals with Wulff shapes
30,Stéphane Le Vu,Gabrielle Jones,Harold Noel,Stéphane Le Vu,https://www.nature.com/articles/s41467-021-23233-6,Prevalence of SARS-CoV-2 antibodies in France: results from nationwide serological surveillance
33,Chuanyang Yu,Stephen King Pong Leung,Wilson Chun Yu Lau,Chuanyang Yu,https://www.nature.com/articles/s41467-021-23338-y,Structural basis of substrate recognition and thermal protection by a small heat shock protein
36,Yu Xia,Diana Nelli,Z. Y. Li,Yu Xia,https://www.nature.com/articles/s41467-021-23305-7,Shape control of size-selected naked platinum nanocrystals
37,Minwoo Baek,Yun-Jeong Choe,Nam Chul Kim,Minwoo Baek,https://www.nature.com/articles/s41467-021-23648-1,Author Correction: TDP-43 and PINK1 mediate CHCHD10S59L mutation–induced defects in Drosophila and in vitro
39,David J. Young,Sezen Meydan,Nicholas R. Guydosh,David J. Young,https://www.nature.com/articles/s41467-021-23223-8,40S ribosome profiling reveals distinct roles for Tma20/Tma22 (MCT-1/DENR) and Tma64 (eIF2D) in 40S subunit recycling
40,Jinxiu Hou,Lulu Han,Chengjiang Gao,Jinxiu Hou,https://www.nature.com/articles/s41467-021-23219-4,USP18 positively regulates innate antiviral immunity by promoting K63-linked polyubiquitination of MAVS
41,Ruichao Zhu,Tianshuo Qiu,Shaobo Qu,Ruichao Zhu,https://www.nature.com/articles/s41467-021-23087-y,Phase-to-pattern inverse design paradigm for fast realization of functional metasurfaces via transfer learning
42,Can Dong,Antoine D. Madar,Mark E. J. Sheffield,Can Dong,https://www.nature.com/articles/s41467-021-23260-3,Distinct place cell dynamics in CA1 and CA3 encode experience in new environments
43,Kanghyeok Jeon,Jeeson Kim,Gun Hwan Kim,Kanghyeok Jeon,https://www.nature.com/articles/s41467-021-23180-2,Self-rectifying resistive memory in passive crossbar arrays
45,Yong Shang,Chenggui Wu,Qianghui Zhou,Yong Shang,https://www.nature.com/articles/s41467-021-23058-3,Diversity-oriented functionalization of 2-pyridones and uracils
47,Yong-xi Song,Jing-xu Sun,Zhen-ning Wang,Yong-xi Song,https://www.nature.com/articles/s41467-021-23211-y,Author Correction: Non-coding RNAs participate in the regulatory network of CLDN4 via ceRNA mediated miRNA evasion
48,Soo-Yeon Park,Jung Yeon Hong,Ho-Geun Yoon,Soo-Yeon Park,https://www.nature.com/articles/s41467-021-23277-8,Club cell-specific role of programmed cell death 5 in pulmonary fibrosis
49,Jie Zhou,Yang Wei,Ling Huang,Jie Zhou,https://www.nature.com/articles/s41467-021-23176-y,A luminescent view of the clickable assembly of LnF3 nanoclusters
50,Kaituo Wang,Robert Dagil,Ali Salanti,Kaituo Wang,https://www.nature.com/articles/s41467-021-23254-1,Cryo-EM reveals the architecture of placental malaria VAR2CSA and provides molecular insight into chondroitin sulfate binding
51,Young-Tae Lee,Alex Ayoub,Yali Dou,Young-Tae Lee,https://www.nature.com/articles/s41467-021-23268-9,Mechanism for DPY30 and ASH2L intrinsically disordered regions to modulate the MLL/SET1 activity on chromatin
52,Yijie Wang,Yan Chen,Yingfei Wang,Yijie Wang,https://www.nature.com/articles/s41467-021-23264-z,MIF is a 3’ flap nuclease that facilitates DNA replication and promotes tumor growth
53,Xuanze Zhang,Ying-Ping Wang,Yongqiang Zhang,Xuanze Zhang,https://www.nature.com/articles/s41467-021-22392-w,A small climate-amplifying effect of climate-carbon cycle feedback
55,Ge Song,Wan-ting He,Raiees Andrabi,Ge Song,https://www.nature.com/articles/s41467-021-23074-3,Cross-reactive serum and memory B-cell responses to spike protein in SARS-CoV-2 and endemic coronavirus infection
57,Fang Wang,Johan Biscaras,Abhay Shukla,Fang Wang,https://www.nature.com/articles/s41467-021-23183-z,Superconductor-insulator transition in space charge doped one unit cell Bi2.1Sr1.9CaCu2O8+x
58,Yi Xu,Fengwang Li,David Sinton,Yi Xu,https://www.nature.com/articles/s41467-021-23065-4,Low coordination number copper catalysts for electrochemical CO2 methanation in a membrane electrode assembly
59,Zhikai Tu,Weifeng Liu,Hongming Lou,Zhikai Tu,https://www.nature.com/articles/s41467-021-23204-x,Biomimetic high performance artificial muscle built on sacrificial coordination network and mechanical training process
60,Gwangmin Kim,Jae Hyun In,Kyung Min Kim,Gwangmin Kim,https://www.nature.com/articles/s41467-021-23184-y,Self-clocking fast and variation tolerant true random number generator based on a stochastic mott memristor
62,Danfeng Song,Haizhan Jiao,Zhenfeng Liu,Danfeng Song,https://www.nature.com/articles/s41467-021-23248-z,Phospholipid translocation captured in a bifunctional membrane protein MprF
64,Chang Xue,Shuyao Hu,Zai-Sheng Wu,Chang Xue,https://www.nature.com/articles/s41467-021-23250-5,Programmably tiling rigidified DNA brick on gold nanoparticle as multi-functional shell for cancer-targeted delivery of siRNAs
66,Chi Zhang,Ziling Zeng,Kanyi Pu,Chi Zhang,https://www.nature.com/articles/s41467-021-23194-w,Semiconducting polymer nano-PROTACs for activatable photo-immunometabolic cancer therapy
67,Li-Qiu Wang,Tao Liu,Jun Cui,Li-Qiu Wang,https://www.nature.com/articles/s41467-021-23201-0,Perfluoroalkyl substance pollutants activate the innate immune system through the AIM2 inflammasome
68,Chao Zhang,Cong Xu,Zhong Huang,Chao Zhang,https://www.nature.com/articles/s41467-021-23199-5,Functional and structural characterization of a two-MAb cocktail for delayed treatment of enterovirus D68 infections
